prompt_id,bloom,bloom_band,subject,subject_family,knowledge_state,learning_stage,learning_context
P0001,Understand,RU,Literature,humanistic,informed,skill_building,collaborative
P0002,Analyze,AA,Art History,humanistic,misinformed,comprehensive_mastery,collaborative
P0003,Remember,RU,Literature,humanistic,informed,conceptual_orientation,autonomous
P0004,Analyze,AA,Literature,humanistic,misinformed,competency_development,autonomous
P0005,Analyze,AA,Ethics,humanistic,misinformed,conceptual_orientation,guided
P0006,Analyze,AA,Ethics,humanistic,misinformed,competency_development,autonomous
P0007,Analyze,AA,Psychology,natural,misinformed,comprehensive_mastery,collaborative
P0008,Remember,RU,Psychology,natural,novice,conceptual_orientation,guided
P0009,Analyze,AA,History,humanistic,misinformed,conceptual_orientation,collaborative
P0010,Analyze,AA,Ethics,humanistic,novice,skill_building,guided
P0011,Analyze,AA,Computer Science,formal,misinformed,competency_development,collaborative
P0012,Evaluate,EC,Ethics,humanistic,novice,skill_building,autonomous
P0013,Remember,RU,Psychology,natural,novice,skill_building,collaborative
P0014,Evaluate,EC,Ethics,humanistic,misinformed,competency_development,guided
P0015,Apply,AA,Physics,formal,novice,competency_development,collaborative
P0016,Remember,RU,Computer Science,formal,informed,conceptual_orientation,autonomous
P0017,Analyze,AA,History,humanistic,novice,competency_development,autonomous
P0018,Evaluate,EC,Art History,humanistic,misinformed,skill_building,guided
P0019,Understand,RU,History,humanistic,misinformed,comprehensive_mastery,guided
P0020,Understand,RU,Ethics,humanistic,misinformed,competency_development,collaborative
P0021,Understand,RU,Biology,natural,informed,conceptual_orientation,guided
P0022,Remember,RU,Ethics,humanistic,misinformed,skill_building,autonomous
P0023,Analyze,AA,Computer Science,formal,misinformed,skill_building,guided
P0024,Evaluate,EC,Physics,formal,novice,conceptual_orientation,guided
P0025,Create,EC,Mathematics,formal,misinformed,conceptual_orientation,collaborative
P0026,Analyze,AA,Psychology,natural,novice,skill_building,collaborative
P0027,Create,EC,Computer Science,formal,informed,competency_development,collaborative
P0028,Create,EC,Art History,humanistic,novice,skill_building,autonomous
P0029,Analyze,AA,Sociology,applied,misinformed,skill_building,autonomous
P0030,Apply,AA,Biology,natural,informed,comprehensive_mastery,autonomous
P0031,Analyze,AA,Psychology,natural,informed,skill_building,collaborative
P0032,Remember,RU,History,humanistic,informed,skill_building,collaborative
P0033,Understand,RU,Computer Science,formal,misinformed,skill_building,guided
P0034,Evaluate,EC,Biology,natural,misinformed,competency_development,collaborative
P0035,Evaluate,EC,Mathematics,formal,novice,competency_development,guided
P0036,Analyze,AA,Ethics,humanistic,informed,skill_building,collaborative
P0037,Understand,RU,History,humanistic,misinformed,conceptual_orientation,collaborative
P0038,Create,EC,Biology,natural,novice,comprehensive_mastery,autonomous
P0039,Understand,RU,Psychology,natural,novice,competency_development,autonomous
P0040,Create,EC,History,humanistic,misinformed,competency_development,collaborative
P0041,Understand,RU,Art History,humanistic,informed,competency_development,collaborative
P0042,Apply,AA,Computer Science,formal,informed,skill_building,collaborative
P0043,Understand,RU,Mathematics,formal,misinformed,comprehensive_mastery,collaborative
P0044,Evaluate,EC,Biology,natural,novice,competency_development,guided
