prompt_id,bloom,bloom_band,subject,subject_family,knowledge_state,learning_stage,learning_context
P0040,Create,EC,History,humanistic,misinformed,competency_development,collaborative
P0066,Remember,RU,Ethics,humanistic,novice,skill_building,collaborative
P0073,Analyze,AA,Literature,humanistic,misinformed,skill_building,collaborative
P0077,Understand,RU,History,humanistic,informed,competency_development,guided
P0090,Analyze,AA,Art History,humanistic,misinformed,skill_building,guided
P0091,Apply,AA,Art History,humanistic,misinformed,conceptual_orientation,guided
P0102,Evaluate,EC,History,humanistic,novice,competency_development,guided
P0108,Remember,RU,Sociology,applied,novice,conceptual_orientation,collaborative
P0112,Remember,RU,Psychology,natural,informed,skill_building,collaborative
P0123,Remember,RU,Ethics,humanistic,novice,competency_development,guided
P0127,Analyze,AA,Art History,humanistic,informed,comprehensive_mastery,guided
P0133,Remember,RU,Literature,humanistic,misinformed,skill_building,guided
P0135,Create,EC,Sociology,applied,misinformed,conceptual_orientation,guided
P0136,Create,EC,Sociology,applied,informed,competency_development,guided
P0165,Understand,RU,Literature,humanistic,misinformed,competency_development,guided
P0170,Apply,AA,Literature,humanistic,informed,competency_development,autonomous
P0171,Understand,RU,Psychology,natural,novice,competency_development,guided
P0173,Evaluate,EC,Sociology,applied,novice,skill_building,collaborative
P0180,Apply,AA,Sociology,applied,misinformed,conceptual_orientation,guided
P0188,Remember,RU,Biology,natural,informed,skill_building,guided
P0195,Analyze,AA,Psychology,natural,informed,conceptual_orientation,collaborative
P0205,Apply,AA,Biology,natural,informed,comprehensive_mastery,guided
P0218,Understand,RU,Biology,natural,misinformed,comprehensive_mastery,guided
P0224,Apply,AA,History,humanistic,novice,comprehensive_mastery,guided
P0226,Understand,RU,Literature,humanistic,novice,skill_building,collaborative
P0227,Apply,AA,Biology,natural,misinformed,skill_building,guided
P0228,Understand,RU,Mathematics,formal,informed,competency_development,guided
P0229,Remember,RU,Biology,natural,novice,skill_building,autonomous
P0230,Understand,RU,Biology,natural,misinformed,conceptual_orientation,collaborative
P0233,Evaluate,EC,Psychology,natural,novice,comprehensive_mastery,collaborative
P0235,Create,EC,Mathematics,formal,misinformed,skill_building,guided
P0239,Apply,AA,Mathematics,formal,novice,skill_building,collaborative
P0250,Understand,RU,History,humanistic,informed,conceptual_orientation,guided
P0280,Evaluate,EC,Psychology,natural,informed,conceptual_orientation,guided
P0282,Understand,RU,Biology,natural,novice,comprehensive_mastery,guided
P0292,Remember,RU,Sociology,applied,informed,competency_development,collaborative
P0297,Understand,RU,Biology,natural,novice,skill_building,guided
P0316,Apply,AA,Ethics,humanistic,novice,skill_building,guided
P0319,Understand,RU,Mathematics,formal,informed,comprehensive_mastery,guided
P0320,Apply,AA,Biology,natural,novice,competency_development,guided
